					
Table 0a. General Information					
					
Question	Answer type	Answers	Skip logic		
Start Location (please give the intersection)	fill in	n/a	none		
What best describes the current Weather Conditions	Radio Button	Good/Fair  Extremely Cold or Extremely Hot  Overcast  Rainy	none		
End Location (please give the intersection)	fill in	n/a	none		
					
Table 0b. Main Menu					
					
Question	Answer type	Possible Answers	Skip logic		
What block feature would you like to assess?	Radio button	General Block Features/ Stores/ Industry/ Physical Disorder/ Housing/ Public Services/ Public Transit/ Health/ None of the above (Do not allow the user to choose sections that they have already completed.)	Skip to the appropriate table of questions depending on what is chosen. If “None of the above” is chosen, go to Table 2.		
					
Table 0c. Descriptions for Main Menu Answers					
					
Section	Description				
General Block Features	This section includes a description of the overall street layout and street network. This section captures information related to the width and length of the street; signs, street lamps, fire hydrants, and other objects on the street.				
Stores	This section provides information about the types of stores and businesses on the block. It includes permanent businesses and people selling things from the street, such as from food trucks or push carts.				
Industry	Industrial zones are areas designated for the purposes of manufacturing activity. This section captures information related to land use, hazards, and other environmental conditions.				
Physical Disorder	Physical disorder describes the process (or factors) by which communities fall into physical disrepair. At the least, physical disorder is an indication of lack of community investment and resources. Indicators include broken windows, eviction notices, vacant buildings, etc.				
Housing	Residences are the places where people live. This section captures information about the types of residential buildings, housing conditions, etc. on the block.				
Public Services	Public services are the places where we learn, worship, or play. This section captures information about the presence or absence of fire stations, places of worship, libraries, municipal buildings, parks, schools, etc.				
Public Transit	This section provides information about the types of Public Transportation on the Block. This includes Bus stops, Bike Lanes, Park and Ride Lots, Bike Sharing stations, etc.				
Health	This section provides information about the types of Medical and Health services available on the block. This Includes doctors offices, dentists, clinics, rehab facilities, etc.				
					
					
Table 2. Exit Menu					
					
Question	Answer type	Possible Answers	Skip logic		
Thank you for using the Community Block Assessment Tool. Your responses have been recorded.	none	n/a	n/a		
					
					
Table 1. Public Services					
					
Question	Answer type	Answers	Skip logic	Next Question	Next Subquestion
Count the number of fire stations.	clicker (default 0)	n/a	none	1:2	
Count the number of police stations.	clicker (default 0)	n/a	none	1:3	
Count the number of jails or prisons.	clicker (default 0)	n/a	none	1:4	
Count the number of public libraries.	clicker (default 0)	n/a	none	1:5	
Count the number of municipal buildings.	clicker (default 0)	n/a	none	1:6	
Count the number of public parks.	clicker (default 0)	n/a	if 0, skip the next two questions	1:9	1:7
Count the number of park signs.	clicker (default 0)	n/a	none	1:8	
What is the condition of the parks?	Radio button	Bad/Good/Great	none	1:9	
Count the number of off-road bike trails.	clicker (default 0)	n/a	none	1:10	
Count the number of community, senior, and recreation centers.	clicker (default 0)	n/a	none	1:11	
Count the number of VFW or American Legion halls.	clicker (default 0)	n/a	none	1:12	
Count the number of soup kitchens.	clicker (default 0)	n/a	none	1:13	
